2018/09/12,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,2.2              ,2.20,2.20
2018/09/28,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,2.2              ,2.20,2.20
2018/10/11,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,2.3              ,2.20,2.20
2018/10/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,2.3              ,2.30,2.30
2018/11/14,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,2.3              ,2.30,2.30
2018/11/29,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,1.7              ,2.00,2.30
2018/12/14,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,1.7              ,1.70,evised From 1.7
2018/12/28,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,1.2              ,1.50,1.70
2019/01/15,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,1.2,1.2,evised From 1.2
2019/01/31,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,1,1.1,1.2
2019/02/15,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,1,1,evised From 1.0
2019/02/28,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,1.1,1.1,1
2019/03/13,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,1.1,1.1,evised From 1.1
2019/03/28,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,1.3,1.4,1.1
2019/04/12,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,1.3,1.3,evised From 1.3
2019/04/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,1.5,1.5,1.3
2019/05/14,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,1.5,1.5,evised From 1.5
2019/05/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,0.8,1.2,1.5
2019/06/12,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.8,0.8,evised From 0.8
2019/06/27,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,0.4,0.8,0.8
2019/07/12,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.4,0.4,evised From 0.4
2019/07/29,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,0.5,0.6,0.4
2019/08/13,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.5,0.5,evised From 0.5
2019/08/29,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,0.3,0.4,0.5
2019/09/13,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.3,0.3,0.5
2019/09/30,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,0.1,,0.3
2019/10/11,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
2019/10/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
2019/11/14,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
2019/11/28,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,0.4,0.2,0.1
